as_of_date,patients_currently_in_icu,patients_currently_icu_intubated
2022-01-03,479.85714285714283,201.57142857142858
2022-01-02,444.7142857142857,189.57142857142858
2022-01-01,413.42857142857144,177.71428571428572
2021-12-31,381.57142857142856,165.71428571428572
2021-12-30,352.2857142857143,154.85714285714286
2021-12-29,322.2857142857143,145.42857142857142
2021-12-28,294,134.85714285714286
2021-12-27,270.7142857142857,125.42857142857143
2021-12-26,248.57142857142858,116.42857142857143
2021-12-24,229.71428571428572,108.71428571428571
2021-12-23,215.71428571428572,103.57142857142857
2021-12-22,202,99.14285714285714
2021-12-21,192.71428571428572,96.42857142857143
2021-12-20,184.42857142857142,94.85714285714286
2021-12-19,178.57142857142858,94
2021-12-18,174.42857142857142,91.57142857142857
2021-12-17,168,89
2021-12-16,163.28571428571428,86.14285714285714
2021-12-15,158.14285714285714,82.42857142857143
2021-12-14,152.71428571428572,78.57142857142857
2021-12-13,149.28571428571428,74.14285714285714
2021-12-12,145.85714285714286,70.85714285714286
2021-12-11,142.85714285714286,68.57142857142857
2021-12-10,141,66
2021-12-09,136.85714285714286,63
2021-12-08,133.14285714285714,61
2021-12-07,129.57142857142858,59.42857142857143
2021-12-06,125.14285714285714,58.42857142857143
2021-12-05,119.71428571428571,56.285714285714285
2021-12-04,112.42857142857143,53.857142857142854
2021-12-03,107.14285714285714,52.285714285714285
2021-12-02,101.57142857142857,50.142857142857146
2021-12-01,96.42857142857143,47.857142857142854
2021-11-30,91,44.714285714285715
2021-11-29,86.57142857142857,42.285714285714285
2021-11-28,82.57142857142857,40.857142857142854
2021-11-27,79.57142857142857,40.285714285714285
2021-11-26,76.85714285714286,39.714285714285715
2021-11-24,75.85714285714286,39.285714285714285
2021-11-23,74.57142857142857,38.714285714285715
2021-11-22,74.14285714285714,39.285714285714285
2021-11-21,73.71428571428571,39
2021-11-20,73,38.857142857142854
2021-11-19,73.42857142857143,39.142857142857146
2021-11-18,73.28571428571429,39.285714285714285
2021-11-17,72.57142857142857,40.142857142857146
2021-11-16,72.57142857142857,41.285714285714285
2021-11-15,73.71428571428571,43.285714285714285
2021-11-14,74.42857142857143,45.285714285714285
2021-11-13,76.14285714285714,47.57142857142857
2021-11-12,78.71428571428571,49.57142857142857
2021-11-11,82.14285714285714,52.285714285714285
2021-11-10,85,53.714285714285715
2021-11-09,88,55.714285714285715
2021-11-08,91.85714285714286,57.714285714285715
2021-11-07,96.14285714285714,60.57142857142857
2021-11-06,99.42857142857143,62
2021-11-05,101,63.142857142857146
2021-11-04,102.42857142857143,63.285714285714285
2021-11-03,105.71428571428571,65
2021-11-02,108.85714285714286,67
2021-11-01,110.71428571428571,68
2021-10-31,111.85714285714286,67.57142857142857
2021-10-30,114.85714285714286,68
2021-10-29,117.42857142857143,68.42857142857143
2021-10-28,121,69.57142857142857
2021-10-27,124,69.71428571428571
2021-10-26,125.71428571428571,69.28571428571429
2021-10-25,126,67.85714285714286
2021-10-24,127.42857142857143,68
2021-10-23,127.28571428571429,67.85714285714286
2021-10-22,127,67.71428571428571
2021-10-21,125.85714285714286,67.42857142857143
2021-10-20,123.14285714285714,67.28571428571429
2021-10-19,121,67.14285714285714
2021-10-18,120.42857142857143,68.42857142857143
2021-10-17,120.42857142857143,69.71428571428571
2021-10-16,120.42857142857143,70.28571428571429
2021-10-15,120.42857142857143,70.28571428571429
2021-10-14,120.85714285714286,70.42857142857143
2021-10-13,122.57142857142857,71.57142857142857
2021-10-12,126.42857142857143,73.57142857142857
2021-10-11,129.71428571428572,75.14285714285714
2021-10-10,132.57142857142858,77
2021-10-09,138.14285714285714,80.85714285714286
2021-10-08,143.85714285714286,84.57142857142857
2021-10-07,148.57142857142858,87.14285714285714
2021-10-06,153,90
2021-10-05,156.71428571428572,91.85714285714286
2021-10-04,162.14285714285714,94.57142857142857
2021-10-03,167.85714285714286,97
2021-10-02,172.28571428571428,98.28571428571429
2021-10-01,176.85714285714286,101.14285714285714
2021-09-30,183.14285714285714,105.14285714285714
2021-09-29,188,107.71428571428571
2021-09-28,191.71428571428572,110.71428571428571
2021-09-27,194.28571428571428,113
2021-09-26,195.14285714285714,115.57142857142857
2021-09-25,196,118.42857142857143
2021-09-24,196.85714285714286,119.57142857142857
2021-09-23,195.28571428571428,118.85714285714286
2021-09-22,195.71428571428572,118.57142857142857
2021-09-21,196.14285714285714,117.85714285714286
2021-09-20,195,116.14285714285714
2021-09-19,192.28571428571428,111.42857142857143
2021-09-18,189,106.85714285714286
2021-09-17,185.85714285714286,103.57142857142857
2021-09-16,184.42857142857142,102.85714285714286
2021-09-15,182.14285714285714,102.28571428571429
2021-09-14,181,101
2021-09-13,180.57142857142858,100.85714285714286
2021-09-12,182.71428571428572,103.71428571428571
2021-09-11,185.14285714285714,105.71428571428571
2021-09-10,190.28571428571428,107.57142857142857
2021-09-09,196.14285714285714,107.85714285714286
2021-09-08,199.85714285714286,107.71428571428571
2021-09-07,200.42857142857142,107.42857142857143
2021-09-06,201.71428571428572,106.28571428571429
2021-09-05,202,103.71428571428571
2021-09-04,201.14285714285714,100.71428571428571
2021-09-03,197.28571428571428,96.85714285714286
2021-09-02,192,93.28571428571429
2021-09-01,187.57142857142858,90
2021-08-31,184.85714285714286,87
2021-08-30,181.14285714285714,84.14285714285714
2021-08-29,178.14285714285714,82.85714285714286
2021-08-28,175.57142857142858,82.28571428571429
2021-08-27,174.28571428571428,82.57142857142857
2021-08-26,172,82.14285714285714
2021-08-25,171.85714285714286,81
2021-08-24,171.42857142857142,80
2021-08-23,171.14285714285714,78.57142857142857
2021-08-22,171,76.57142857142857
2021-08-21,170.28571428571428,73.42857142857143
2021-08-20,169,70
2021-08-19,166.57142857142858,67.28571428571429
2021-08-18,160.42857142857142,65.57142857142857
2021-08-17,154.71428571428572,63.714285714285715
2021-08-16,149.14285714285714,62.142857142857146
2021-08-15,142.28571428571428,59.714285714285715
2021-08-14,134.85714285714286,58.142857142857146
2021-08-13,126.42857142857143,55.57142857142857
2021-08-12,121,53.285714285714285
2021-08-11,117.28571428571429,49.857142857142854
2021-08-10,112.71428571428571,46.42857142857143
2021-08-09,108.14285714285714,43.285714285714285
2021-08-08,104,41
2021-08-07,100.71428571428571,39.142857142857146
2021-08-06,98.42857142857143,37.857142857142854
2021-08-05,92.85714285714286,36.42857142857143
2021-08-04,88.42857142857143,36.57142857142857
2021-08-03,85,37
2021-08-02,81.57142857142857,37.42857142857143
2021-08-01,79,36.857142857142854
2021-07-31,76,35.42857142857143
2021-07-30,73,33.857142857142854
2021-07-29,71.85714285714286,32.714285714285715
2021-07-28,69.42857142857143,30.571428571428573
2021-07-27,66.57142857142857,27.714285714285715
2021-07-26,63.57142857142857,25.571428571428573
2021-07-25,60.42857142857143,24.285714285714285
2021-07-24,57,23.571428571428573
2021-07-23,53.285714285714285,23.428571428571427
2021-07-22,49.57142857142857,23
2021-07-21,46.857142857142854,22.857142857142858
2021-07-20,44.142857142857146,23
2021-07-19,42.857142857142854,22.714285714285715
2021-07-18,41.42857142857143,22
2021-07-17,40.857142857142854,21.714285714285715
2021-07-16,40.57142857142857,21.142857142857142
2021-07-15,40.57142857142857,20.571428571428573
2021-07-14,40.42857142857143,19.857142857142858
2021-07-13,41.142857142857146,19.857142857142858
2021-07-12,40.42857142857143,19.571428571428573
2021-07-11,40.142857142857146,19.714285714285715
2021-07-10,39.714285714285715,19.285714285714285
2021-07-09,39.57142857142857,19.142857142857142
2021-07-08,39,18.571428571428573
2021-07-07,39.285714285714285,18.714285714285715
2021-07-06,39.57142857142857,18.714285714285715
2021-07-05,40.142857142857146,19
2021-07-04,40.857142857142854,19.285714285714285
2021-07-03,41.285714285714285,19.857142857142858
2021-07-02,41.57142857142857,20.285714285714285
2021-07-01,42.57142857142857,20.857142857142858
