date,subways_total_estimated,subways_of_comparable_pre,buses_total_estimated,buses_of_comparable_pre,lirr_total_estimated_ridership,lirr_of_2019_monthly_weekday,metro_north_total_estimated,metro_north_of_2019_monthly,access_a_ride_total_scheduled,access_a_ride_of_comprable,bridges_and_tunnels_total,bridges_and_tunnels_of
2021-10-07,2732600,0.5534285714285715,1289265,0.632,129142.85714285714,0.59,107771.42857142857,0.57,20695.14285714286,0.7635714285714286,917294.2857142857,0.9897142857142857
2021-10-06,2726302.8571428573,0.5527142857142857,1288252.5714285714,0.6341428571428571,128385.71428571429,0.5871428571428572,107828.57142857143,0.57,20550,0.7585714285714286,917621.2857142857,0.9952857142857142
2021-10-05,2715238.714285714,0.5508571428571429,1285469.142857143,0.633,126657.14285714286,0.5814285714285714,107385.71428571429,0.5671428571428572,20356.428571428572,0.7522857142857143,913734.4285714285,0.9911428571428571
2021-10-04,2691860.8571428573,0.5432857142857144,1279419.7142857143,0.6274285714285714,125371.42857142857,0.5771428571428572,106471.42857142857,0.5628571428571428,20082.571428571428,0.7442857142857143,905743.4285714285,0.9755714285714285
2021-10-03,2693167,0.543,1289460.5714285714,0.632,124457.14285714286,0.5728571428571428,106500,0.5628571428571428,19999,0.7455714285714286,907053.5714285715,0.9741428571428571
2021-10-02,2698777.4285714286,0.5445714285714286,1287175.4285714286,0.6284285714285714,125200,0.5814285714285714,106228.57142857143,0.56,19870.14285714286,0.7414285714285714,908160.1428571428,0.9677142857142857
2021-10-01,2708204.4285714286,0.551,1285545.142857143,0.6281428571428572,125471.42857142857,0.5828571428571429,106285.71428571429,0.56,19836.428571428572,0.7441428571428571,912470.5714285715,0.967
2021-09-30,2702323.714285714,0.5514285714285715,1282225.5714285714,0.6277142857142858,125871.42857142857,0.5842857142857143,106357.14285714286,0.56,19671.14285714286,0.743,912600.2857142857,0.9648571428571427
2021-09-29,2683590.1428571427,0.5477142857142858,1277510.4285714286,0.6232857142857143,125200,0.5828571428571429,105457.14285714286,0.5557142857142857,19596.285714285714,0.744,907128.4285714285,0.9537142857142856
2021-09-28,2677506.714285714,0.5452857142857143,1276514.2857142857,0.6234285714285716,125542.85714285714,0.5842857142857143,105471.42857142857,0.5557142857142857,19572.571428571428,0.7407142857142857,905142.4285714285,0.9484285714285713
2021-09-27,2690473.5714285714,0.5474285714285715,1283426,0.6264285714285716,125757.14285714286,0.5842857142857143,106271.42857142857,0.56,19668.571428571428,0.744,909265,0.9528571428571428
2021-09-26,2691855.8571428573,0.5477142857142858,1282316.7142857143,0.6258571428571429,126028.57142857143,0.5857142857142857,106357.14285714286,0.56,19765.714285714286,0.7474285714285714,911264,0.9551428571428572
2021-09-25,2689256.5714285714,0.544,1284712,0.6260000000000001,124500,0.5685714285714286,106242.85714285714,0.5585714285714286,19848.285714285714,0.7518571428571429,914026.4285714285,0.9557142857142856
2021-09-24,2672859.285714286,0.5358571428571429,1284524.142857143,0.6238571428571429,122900,0.5557142857142857,105528.57142857143,0.5514285714285715,19869,0.7487142857142858,913390.7142857143,0.9547142857142857
2021-09-23,2659521.4285714286,0.5324285714285715,1282595,0.6222857142857142,122800,0.5542857142857143,105900,0.5528571428571428,20060.571428571428,0.7547142857142858,912732.2857142857,0.955
2021-09-22,2590524.714285714,0.5214285714285715,1243594.142857143,0.6042857142857143,121071.42857142857,0.5471428571428572,104785.71428571429,0.5485714285714286,19745.571428571428,0.7431428571428572,905477.2857142857,0.9467142857142857
2021-09-21,2585641.714285714,0.5214285714285715,1243225,0.603,121071.42857142857,0.5471428571428572,104257.14285714286,0.5471428571428572,19861.14285714286,0.7457142857142858,910027.2857142857,0.952
2021-09-20,2584589.8571428573,0.5218571428571429,1243988.142857143,0.6018571428571429,121385.71428571429,0.5485714285714286,103771.42857142857,0.5442857142857143,19965.85714285714,0.7468571428571429,916880.7142857143,0.9581428571428571
2021-09-19,2580185.5714285714,0.522,1238251,0.5985714285714286,121342.85714285714,0.5485714285714286,103828.57142857143,0.5442857142857143,19967.14285714286,0.746,919697.5714285715,0.9602857142857142
2021-09-18,2579176.285714286,0.5234285714285715,1241184.857142857,0.6020000000000001,122428.57142857143,0.5599999999999999,103100,0.5342857142857143,19913.85714285714,0.7442857142857143,917589.1428571428,0.9602857142857142
2021-09-17,2574582.4285714286,0.5271428571428572,1241130,0.6045714285714286,123128.57142857143,0.5657142857142857,101528.57142857143,0.5185714285714286,19773.285714285714,0.7412857142857143,913092.8571428572,0.9605714285714285
2021-09-16,2547603,0.5238571428571429,1222019.857142857,0.5957142857142858,124385.71428571429,0.57,100700,0.5157142857142857,19738.285714285714,0.7375714285714285,915007.2857142857,0.9622857142857143
2021-09-15,2571637,0.5287142857142857,1227630.142857143,0.5985714285714286,126028.57142857143,0.5757142857142857,101271.42857142857,0.5185714285714286,20142.14285714286,0.7502857142857143,921668.2857142857,0.9702857142857143
