region,date,isoweek,total_claims,date_2019,total_claims_2019,rolling_avg_claims,pct_change_19_now,Unemployment Claims Index Original,Unemployment Claims Index
New York City,2021-03-13,10,18090,2019-03-09,5380,7783.333333,1.3241970022408651,43.02561267551133,43.02561267551133
New York City,2021-03-06,9,18080,2019-03-02,12750,7833.333333,1.3080851064811954,43.325958700221236,43.325958700221236
New York City,2021-02-27,8,24400,2019-02-23,5370,7883.333333,2.095137420849689,32.30874316803278,32.30874316803278
New York City,2021-02-20,7,18490,2019-02-16,5530,5660,2.26678445229682,30.61114115738237,30.61114115738237
New York City,2021-02-13,6,22450,2019-02-09,6080,6076.666667,2.694459681640457,27.067557536748332,27.067557536748332
New York City,2021-02-06,5,23460,2019-02-02,6620,6073.333333,2.8627881451077277,25.888036372549017,25.888036372549017
New York City,2021-01-30,4,30290,2019-01-26,5520,6153.333333,3.9225352115342655,20.31473533509409,20.31473533509409
New York City,2021-01-23,3,25840,2019-01-19,6320,6713.333333,2.8490566039647005,25.98039215557275,25.98039215557275
New York City,2021-01-16,2,24640,2019-01-12,8300,10243.33333,1.4054669711700187,41.57196968344155,41.57196968344155
New York City,2021-01-09,1,31930,2019-01-05,16110,10110,2.158259149357072,31.663012840588785,31.663012840588785
New York City,2021-01-02,53,21510,NA,NA,11155,0.9282832810398924,51.85960018596002,51.85960018596002
New York City,2020-12-26,52,21620,2019-12-28,5920,9063.333333,1.3854358220811118,41.92106074468086,41.92106074468086
New York City,2020-12-19,51,17110,2019-12-21,5160,5366.666667,2.18819875756595,31.36567309760374,31.36567309760374
New York City,2020-12-12,50,26760,2019-12-14,5020,5600,3.7785714285714285,20.92675635276532,20.92675635276532
New York City,2020-12-05,49,24180,2019-12-07,6620,5436.666667,3.4475781726273707,22.484146679073618,22.484146679073618
New York City,2020-11-28,48,19300,2019-11-30,4670,5576.666667,2.460848774449441,28.89464594300518,28.89464594300518
New York City,2020-11-21,47,21730,2019-11-23,5440,5120,3.244140625,23.561895996318455,23.561895996318455
New York City,2020-11-14,46,20460,2019-11-16,5250,5476.666667,2.7358490563763933,26.767676769305965,26.767676769305965
New York City,2020-11-07,45,21620,2019-11-09,5740,5333.333333,3.05375000025336,24.66851680388529,24.66851680388529
New York City,2020-10-31,44,23240,2019-11-02,5010,5280,3.4015151515151514,22.719449225473323,22.719449225473323
New York City,2020-10-24,43,28460,2019-10-26,5090,5133.333333,4.5441558445158545,18.037011008432888,18.037011008432888
New York City,2020-10-17,42,31970,2019-10-19,5300,5586.666667,4.722553698942567,17.474715880512985,17.474715880512985
New York City,2020-10-10,41,38930,2019-10-12,6370,5676.666667,5.857897826960781,14.581727888517854,14.581727888517854
New York City,2020-10-03,40,39100,2019-10-05,5360,5566.666667,6.023952095387787,14.236999148337597,14.236999148337597
New York City,2020-09-26,39,39050,2019-09-28,4970,5083.333333,6.681967213618489,13.017498932138283,13.017498932138283
New York City,2020-09-19,38,41460,2019-09-21,4920,5216.666667,6.947603833357981,12.582408748191027,12.582408748191027
New York City,2020-09-12,37,36460,2019-09-14,5760,5283.333333,5.900946372675139,14.490766135490949,14.490766135490949
New York City,2020-09-05,36,36940,2019-09-07,5170,5890,5.271646859083192,15.944775311315649,15.944775311315649
New York City,2020-08-29,35,35200,2019-08-31,6740,6906.666667,4.096525096279125,19.621212122159093,19.621212122159093
New York City,2020-08-22,34,34040,2019-08-24,8810,7070,3.814710042432815,20.769682726204465,20.769682726204465
New York City,2020-08-15,33,33600,2019-08-17,5660,6646.666667,4.055165496235949,19.7817460327381,19.7817460327381
New York City,2020-08-08,32,28460,2019-08-10,5470,5470,4.202925045703839,19.21995783555868,19.21995783555868
New York City,2020-08-01,31,39360,2019-08-03,5280,5333.333333,6.3800000004612505,13.550135500508128,13.550135500508128
New York City,2020-07-25,30,46180,2019-07-27,5250,5313.333333,7.691342535049645,11.505702323516674,11.505702323516674
New York City,2020-07-18,29,46210,2019-07-20,5410,7316.666667,5.315717539575593,15.833513670201258,15.833513670201258
New York City,2020-07-11,28,46260,2019-07-13,11290,8783.333333,4.266793169080334,18.986885717682664,18.986885717682664
New York City,2020-07-04,27,48270,2019-07-06,9650,8993.333333,4.367309118064021,18.631309991713284,18.631309991713284
New York City,2020-06-27,26,43870,2019-06-29,6040,6933.333333,5.327403846458048,15.804270191474812,15.804270191474812
New York City,2020-06-20,25,44790,2019-06-22,5110,5626.666667,6.960308056400455,12.562327901317257,12.562327901317257
New York City,2020-06-13,24,50010,2019-06-15,5730,5570,7.978456014362657,11.137772445510898,11.137772445510898
New York City,2020-06-06,23,48360,2019-06-08,5870,5620,7.604982206405694,11.621174524400331,11.621174524400331
New York City,2020-05-30,22,43690,2019-06-01,5260,5473.333333,6.982338611935587,12.527656976424812,12.527656976424812
New York City,2020-05-23,21,97870,2019-05-25,5290,5206.666667,17.79705505641504,5.319982289772147,5.319982289772147
New York City,2020-05-16,20,116880,2019-05-18,5070,5243.333333,21.291163383489586,4.486082591546886,4.486082591546886
New York City,2020-05-09,19,99500,2019-05-11,5370,8023.333333,11.40132945626927,8.063651590954773,8.063651590954773
New York City,2020-05-02,18,97790,2019-05-04,13630,8546.666667,10.44188767506077,8.739816614173227,8.739816614173227
New York City,2020-04-25,17,109030,2019-04-27,6640,8516.666667,11.801956946661372,7.811305757131065,7.811305757131065
New York City,2020-04-18,16,103150,2019-04-20,5280,5673.333333,17.181551117401973,5.500080788172563,5.500080788172563
New York City,2020-04-11,15,184530,2019-04-13,5100,5220,34.35057471264368,2.8288083238497803,2.8288083238497803
New York City,2020-04-04,14,147660,2019-04-06,5280,5206.666667,27.359795132627408,3.5261185608831105,3.5261185608831105
New York City,2020-03-28,13,143800,2019-03-30,5240,5240,26.442748091603054,3.643949930458971,3.643949930458971
New York City,2020-03-21,12,38520,2019-03-23,5200,5220,6.379310344827586,13.55140186915888,13.55140186915888
